Code;ZIP Code;Country;City;Street;Building;Korpus;staircase;Appt;floor
2ASDFM;188689;Российская Федерация;Ленинградская Обл. п. Кудрово;улица Ленинградская;5;0;2;174;14
2DMMMP;188689;Российская Федерация;Ленинградская Обл. п. Кудрово;улица Ленинградская;5;0;9;742;17
2FBURJ;188689;Российская Федерация;Ленинградская Обл. п. Кудрово;улица Ленинградская;5;0;2;170;14
2FV6QB;188689;Российская Федерация;Ленинградская Обл. п. Кудрово;улица Ленинградская;5;0;10;755;2
2J22SP;188689;Российская Федерация;Ленинградская Обл. п. Кудрово;улица Ленинградская;5;0;10;791;7
2JDSJ3;188689;Российская Федерация;Ленинградская Обл. п. Кудрово;улица Ленинградская;5;0;4;294;5
2KNMPX;188689;Российская Федерация;Ленинградская Обл. п. Кудрово;улица Ленинградская;5;0;5;399;15
2LD5N7;188689;Российская Федерация;Ленинградская Обл. п. Кудрово;улица Ленинградская;5;0;3;235;11
2RX2QJ;188689;Российская Федерация;Ленинградская Обл. п. Кудрово;улица Ленинградская;5;0;1;50;11
2VWYNP;188689;Российская Федерация;Ленинградская Обл. п. Кудрово;улица Ленинградская;5;0;2;89;4
2YX2AP;188689;Российская Федерация;Ленинградская Обл. п. Кудрово;улица Ленинградская;5;0;8;644;17
33FFDX;188689;Российская Федерация;Ленинградская Обл. п. Кудрово;улица Ленинградская;5;0;4;302;7
33JJYM;188689;Российская Федерация;Ленинградская Обл. п. Кудрово;улица Ленинградская;5;0;8;619;11
3BWQYM;188689;Российская Федерация;Ленинградская Обл. п. Кудрово;улица Ленинградская;5;0;3;224;9
3C5JNC;188689;Российская Федерация;Ленинградская Обл. п. Кудрово;улица Ленинградская;5;0;9;655;3
3CFD9Z;188689;Российская Федерация;Ленинградская Обл. п. Кудрово;улица Ленинградская;5;0;3;255;14
3ERHWB;188689;Российская Федерация;Ленинградская Обл. п. Кудрово;улица Ленинградская;5;0;9;730;15
3F3QU6;188689;Российская Федерация;Ленинградская Обл. п. Кудрово;улица Ленинградская;5;0;9;652;2
3HKZT6;188689;Российская Федерация;Ленинградская Обл. п. Кудрово;улица Ленинградская;5;0;10;787;6
3IZ52T;188689;Российская Федерация;Ленинградская Обл. п. Кудрово;улица Ленинградская;5;0;2;85;3
3JVD3D;188689;Российская Федерация;Ленинградская Обл. п. Кудрово;улица Ленинградская;5;0;6;442;6
3KJHWT;188689;Российская Федерация;Ленинградская Обл. п. Кудрово;улица Ленинградская;5;0;9;735;16
3PUC55;188689;Российская Федерация;Ленинградская Обл. п. Кудрово;улица Ленинградская;5;0;4;309;9
3TW966;188689;Российская Федерация;Ленинградская Обл. п. Кудрово;улица Ленинградская;5;0;10;849;14
3UAMEK;188689;Российская Федерация;Ленинградская Обл. п. Кудрово;улица Ленинградская;5;0;4;341;17
3UNJJE;188689;Российская Федерация;Ленинградская Обл. п. Кудрово;улица Ленинградская;5;0;3;248;13
3VBRZX;188689;Российская Федерация;Ленинградская Обл. п. Кудрово;улица Ленинградская;5;0;10;829;12
45EHI8;188689;Российская Федерация;Ленинградская Обл. п. Кудрово;улица Ленинградская;5;0;4;286;3
4ACMR8;188689;Российская Федерация;Ленинградская Обл. п. Кудрово;улица Ленинградская;5;0;6;446;7
4CWEYE;188689;Российская Федерация;Ленинградская Обл. п. Кудрово;улица Ленинградская;5;0;2;94;4
4EPQ7F;188689;Российская Федерация;Ленинградская Обл. п. Кудрово;улица Ленинградская;5;0;2;159;13
4FKBEM;188689;Российская Федерация;Ленинградская Обл. п. Кудрово;улица Ленинградская;5;0;2;102;5
4KW3JL;188689;Российская Федерация;Ленинградская Обл. п. Кудрово;улица Ленинградская;5;0;6;496;15
4N5IJJ;188689;Российская Федерация;Ленинградская Обл. п. Кудрово;улица Ленинградская;5;0;10;752;2
4NUWQJ;188689;Российская Федерация;Ленинградская Обл. п. Кудрово;улица Ленинградская;5;0;5;365;6
4TEMV7;188689;Российская Федерация;Ленинградская Обл. п. Кудрово;улица Ленинградская;5;0;5;389;12
4UEJ4P;188689;Российская Федерация;Ленинградская Обл. п. Кудрово;улица Ленинградская;5;0;7;566;15
4WYSWI;188689;Российская Федерация;Ленинградская Обл. п. Кудрово;улица Ленинградская;5;0;9;738;17
54RNWM;188689;Российская Федерация;Ленинградская Обл. п. Кудрово;улица Ленинградская;5;0;10;744;1
55BIAR;188689;Российская Федерация;Ленинградская Обл. п. Кудрово;улица Ленинградская;5;0;1;59;13
59XDQY;188689;Российская Федерация;Ленинградская Обл. п. Кудрово;улица Ленинградская;5;0;2;130;9
5CFLXS;188689;Российская Федерация;Ленинградская Обл. п. Кудрово;улица Ленинградская;5;0;6;495;15
5EVZC6;188689;Российская Федерация;Ленинградская Обл. п. Кудрово;улица Ленинградская;5;0;6;504;16
5FJALM;188689;Российская Федерация;Ленинградская Обл. п. Кудрово;улица Ленинградская;5;0;3;241;12
5HIP8P;188689;Российская Федерация;Ленинградская Обл. п. Кудрово;улица Ленинградская;5;0;3;260;15
5JJJMZ;188689;Российская Федерация;Ленинградская Обл. п. Кудрово;улица Ленинградская;5;0;3;236;11
5PQDCN;188689;Российская Федерация;Ленинградская Обл. п. Кудрово;улица Ленинградская;5;0;6;419;2
5PWHUP;188689;Российская Федерация;Ленинградская Обл. п. Кудрово;улица Ленинградская;5;0;6;498;15
5QVYHV;188689;Российская Федерация;Ленинградская Обл. п. Кудрово;улица Ленинградская;5;0;6;411;1
5SCEYQ;188689;Российская Федерация;Ленинградская Обл. п. Кудрово;улица Ленинградская;5;0;2;111;7
