Code;ZIP Code;Country;City;Street;Building;Korpus;staircase;Appt;floor
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;1;1;2
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;1;2;2
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;1;3;2
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;1;4;2
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;1;5;3
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;1;6;3
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;1;7;3
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;1;8;3
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;1;9;4
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;1;10;4
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;1;11;4
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;1;12;4
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;1;13;5
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;1;14;5
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;1;15;5
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;1;16;5
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;1;17;6
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;1;18;6
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;1;19;6
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;1;20;6
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;1;21;7
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;1;22;7
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;1;23;7
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;1;24;7
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;1;25;8
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;1;26;8
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;1;27;8
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;1;28;8
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;1;29;9
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;1;30;9
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;1;31;9
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;1;32;9
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;1;33;10
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;1;34;10
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;1;35;10
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;1;36;10
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;1;37;11
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;1;38;11
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;1;39;11
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;1;40;11
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;1;41;12
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;1;42;12
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;1;43;12
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;1;44;12
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;1;45;13
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;1;46;13
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;1;47;13
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;1;48;13
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;1;49;14
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;1;50;14
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;1;51;14
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;1;52;14
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;1;53;15
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;1;54;15
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;1;55;15
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;1;56;15
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;2;57;2
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;2;58;2
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;2;59;2
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;2;60;2
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;2;61;2
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;2;62;3
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;2;63;3
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;2;64;3
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;2;65;3
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;2;66;4
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;2;67;4
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;2;68;4
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;2;69;4
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;2;70;4
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;2;71;5
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;2;72;5
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;2;73;5
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;2;74;5
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;2;75;5
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;2;76;6
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;2;77;6
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;2;78;6
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;2;79;6
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;2;80;6
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;2;81;7
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;2;82;7
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;2;83;7
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;2;84;7
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;2;85;7
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;2;86;8
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;2;87;8
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;2;88;8
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;2;89;8
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;2;90;8
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;2;91;9
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;2;92;9
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;2;93;9
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;2;94;9
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;2;95;10
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;2;96;10
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;2;97;10
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;2;98;10
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;2;99;10
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;2;100;11
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;2;101;11
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;2;102;11
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;2;103;11
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;2;104;12
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;2;105;12
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;2;106;12
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;2;107;12
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;2;108;12
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;2;109;13
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;2;110;13
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;2;111;13
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;2;112;13
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;2;113;13
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;2;114;14
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;2;115;14
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;2;116;14
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;2;117;14
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;2;118;14
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;2;119;15
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;2;120;15
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;2;121;15
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;2;122;15
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;2;123;15
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;2;124;16
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;2;125;16
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;2;126;16
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;2;127;16
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;2;128;16
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;3;129;2
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;3;130;2
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;3;131;2
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;3;132;2
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;3;133;2
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;3;134;3
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;3;135;3
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;3;136;3
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;3;137;3
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;3;138;3
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;3;139;4
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;3;140;4
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;3;141;4
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;3;142;4
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;3;143;4
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;3;144;5
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;3;145;5
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;3;146;5
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;3;147;5
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;3;148;5
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;3;149;6
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;3;150;6
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;3;151;6
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;3;152;6
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;3;153;6
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;3;154;7
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;3;155;7
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;3;156;7
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;3;157;7
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;3;158;7
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;3;159;8
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;3;160;8
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;3;161;8
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;3;162;8
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;3;163;8
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;3;164;9
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;3;165;9
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;3;166;9
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;3;167;9
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;3;168;9
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;3;169;10
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;3;170;10
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;3;171;10
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;3;172;10
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;3;173;10
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;3;174;11
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;3;175;11
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;3;176;11
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;3;177;11
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;3;178;11
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;3;179;12
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;3;180;12
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;3;181;12
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;3;182;12
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;3;183;12
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;3;184;13
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;3;185;13
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;3;186;13
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;3;187;13
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;3;188;13
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;3;189;14
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;3;190;14
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;3;191;14
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;3;192;14
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;3;193;14
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;3;194;15
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;3;195;15
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;3;196;15
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;3;197;15
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;3;198;15
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;3;199;16
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;3;200;16
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;3;201;16
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;3;202;16
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;3;203;16
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;4;204;2
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;4;205;2
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;4;206;2
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;4;207;2
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;4;208;2
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;4;209;3
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;4;210;3
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;4;211;3
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;4;212;3
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;4;213;3
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;4;214;4
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;4;215;4
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;4;216;4
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;4;217;4
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;4;218;4
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;4;219;5
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;4;220;5
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;4;221;5
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;4;222;5
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;4;223;5
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;4;224;6
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;4;225;6
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;4;226;6
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;4;227;6
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;4;228;6
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;4;229;7
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;4;230;7
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;4;231;7
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;4;232;7
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;4;233;7
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;4;234;8
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;4;235;8
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;4;236;8
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;4;237;8
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;4;238;8
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;4;239;9
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;4;240;9
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;4;241;9
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;4;242;9
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;4;243;9
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;4;244;10
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;4;245;10
;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;4;246;10
