Code;ZIP Code;Country;City;Street;Building;Korpus;staircase;Appt;floor
T6SPMS;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;1;1;2
QSFEVT;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;1;2;2
A7IL8S;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;1;3;2
JQJNMI;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;1;4;2
EIKDKB;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;1;5;3
VAFPBS;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;1;6;3
U2TPX6;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;1;7;3
XKJVDI;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;1;8;3
CQMC7C;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;1;9;4
JKHMWE;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;1;10;4
ASMMAC;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;1;11;4
ZZ7JFF;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;1;12;4
BXAKIZ;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;1;13;5
YJQWR5;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;1;14;5
JYVKCS;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;1;15;5
RIVSB7;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;1;16;5
M5CHVA;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;1;17;6
VUR7BN;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;1;18;6
QJW5IC;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;1;19;6
7K8C22;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;1;20;6
TZH9JL;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;1;21;7
WE8VV2;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;1;22;7
ZJJBJP;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;1;23;7
D8BM4C;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;1;24;7
AM8WWZ;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;1;25;8
ZDWJZ4;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;1;26;8
XTY8TR;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;1;27;8
ZMKUFW;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;1;28;8
3E9PDN;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;1;29;9
SPNXKN;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;1;30;9
ZS2ZZV;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;1;31;9
ZR9ANT;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;1;32;9
LITBNT;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;1;33;10
YXMK88;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;1;34;10
9VMIBB;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;1;35;10
NKJJA9;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;1;36;10
WAN8UF;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;1;37;11
H6BVU4;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;1;38;11
S8CES3;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;1;39;11
YRVZPH;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;1;40;11
UYRPRR;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;1;41;12
MPEXTR;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;1;42;12
N7DMXW;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;1;43;12
VXPKBE;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;1;44;12
FNQXB9;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;1;45;13
PS7JCQ;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;1;46;13
V92D5A;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;1;47;13
KVXPBF;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;1;48;13
ETKJWH;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;1;49;14
LCWBEI;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;1;50;14
PH8NMT;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;1;51;14
57YYTI;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;1;52;14
KJFRTD;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;1;53;15
RJPUZS;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;1;54;15
HKX5IM;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;1;55;15
CTXJDB;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;1;56;15
JM8NYX;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;2;57;2
NDAYPX;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;2;58;2
3WXTRM;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;2;59;2
A5ZNTU;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;2;60;2
W8J6QB;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;2;61;2
UXWI4Y;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;2;62;3
FXAJUT;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;2;63;3
RPI8B2;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;2;64;3
YJNXEE;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;2;65;3
IHYBUD;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;2;66;4
3JEJPM;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;2;67;4
SIWBL3;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;2;68;4
QR7FY9;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;2;69;4
MR6YAH;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;2;70;4
KNEJR4;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;2;71;5
XSTZAL;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;2;72;5
ACNPJK;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;2;73;5
PZHDZJ;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;2;74;5
JUZ4FJ;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;2;75;5
UXT9KQ;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;2;76;6
CUBVME;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;2;77;6
P3UKQV;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;2;78;6
UKFZSU;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;2;79;6
HKWL7D;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;2;80;6
U77HNC;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;2;81;7
MFHJQU;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;2;82;7
7HTW3L;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;2;83;7
QJKMIF;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;2;84;7
XTZHEC;195112;Российская Федерация;Санкт-Петербург;Заневский проспект;32;3;2;85;7
